Date, Close/Last, Volume, Open, High, Low
05/08/2019, $86.48, 892077, $86.07, $87.58, $86.07
05/07/2019, $86.37, 1265804, $87.08, $87.6, $85.19
05/06/2019, $88.29, 750470, $86.2, $88.65, $85.9436
05/03/2019, $88.42, 1014456, $88.45, $89.24, $88.05
05/02/2019, $87.87, 1628779, $87.91, $88.38, $86.72
05/01/2019, $87.93, 2508409, $90.74, $90.74, $87.64
04/30/2019, $90.47, 1081793, $90.7, $91.54, $89.86
04/29/2019, $90.99, 1381204, $92.18, $93.24, $90.55
04/26/2019, $92.18, 1569462, $91, $92.44, $90.72
04/25/2019, $90.83, 6236062, $92, $93.04, $89.77
04/24/2019, $101.89, 1521277, $100.56, $102.47, $100.22
04/23/2019, $100.82, 1190780, $99.91, $101.54, $99.39
04/22/2019, $99.48, 1177598, $97.19, $99.74, $97.19
04/18/2019, $97.6, 1043357, $96.52, $97.66, $95.64
04/17/2019, $96.23, 725540, $98.11, $98.11, $95.86
04/16/2019, $97.33, 845189, $98.47, $98.47, $96.91
04/15/2019, $97.99, 703486, $98.47, $99.26, $97.85
04/12/2019, $98.59, 1192750, $98.16, $99.61, $97.68
04/11/2019, $97.07, 832452, $95.57, $97.16, $95.44
04/10/2019, $95.18, 1040405, $94.43, $95.88, $94.22
04/09/2019, $94.1, 1119473, $93.75, $94.85, $93.75
04/08/2019, $94.27, 1049271, $94.29, $94.39, $92.87
04/05/2019, $94.16, 732858, $93.86, $94.48, $93.63
04/04/2019, $93.69, 837698, $95.4, $95.4756, $92.39
04/03/2019, $95.21, 951371, $95.33, $96.03, $94.83
04/02/2019, $95.01, 978295, $94.97, $95.63, $94.37
04/01/2019, $94.96, 930315, $93.2, $94.98, $92.695
03/29/2019, $92.18, 867058, $91.27, $92.39, $90.98
03/28/2019, $90.38, 712448, $90.4, $91.145, $89.46
03/27/2019, $90.04, 1411388, $92.84, $92.84, $89.28
03/26/2019, $92.72, 816157, $92.8, $93.715, $92.01
03/25/2019, $92.01, 1130449, $92.73, $93.43, $91.85
03/22/2019, $93.12, 1846971, $94.26, $94.93, $92.69
03/21/2019, $94.96, 735429, $92.57, $94.99, $92.44
03/20/2019, $92.98, 761548, $92.44, $93.89, $91.95
03/19/2019, $92.6, 779351, $92.41, $92.82, $91.35
03/18/2019, $91.83, 894233, $91.47, $92.07, $90.95
03/15/2019, $91.2, 1082697, $91.56, $92.1, $90.925
03/14/2019, $91.66, 1297241, $91.02, $91.99, $90.78
03/13/2019, $91.26, 947985, $90.71, $92.29, $90.45
03/12/2019, $90.2, 1207620, $90.53, $90.77, $89.78
03/11/2019, $90.42, 790251, $89, $90.73, $88.17
03/08/2019, $88.46, 1005543, $88.45, $88.77, $87.846
03/07/2019, $89.64, 875671, $89.83, $90.45, $88.98
03/06/2019, $89.96, 842570, $90.5, $91.3, $89.68
03/05/2019, $90.61, 1112838, $91.38, $92, $90.59
03/04/2019, $91.27, 1317403, $94, $94.075, $90.47
03/01/2019, $93.62, 1182277, $93.73, $94.02, $92.61
02/28/2019, $92.82, 746902, $93.56, $93.93, $92.73
